STAT,VALUE_NORM,PLAYER_NAME,VALUE_TRUE
PTS,0.963820283,James Harden,29.0
PTS,0.80758585,Anthony Davis,24.3
PTS,0.84033241,LeBron James,25.3
PTS,0.937374269,Kevin Durant,28.2
PTS,1,Stephen Curry,30.1
PTS,0.780852632,Russell Westbrook,23.5
PTS,0.711831579,Blake Griffin,21.4
PTS,0.703608187,Kawhi Leonard,21.2
PTS,0.303730802,Rudy Gobert,9.1
PTS,0.240842105,Danny Green,7.2
REB,0.557926829,James Harden,6.1
REB,0.938622754,Anthony Davis,10.3
REB,0.678872518,LeBron James,7.4
REB,0.74702678,Kevin Durant,8.2
REB,0.497043887,Stephen Curry,5.4
REB,0.714558383,Russell Westbrook,7.8
REB,0.767065868,Blake Griffin,8.4
REB,0.625270293,Kawhi Leonard,6.8
REB,1,Rudy Gobert,11.0
REB,0.350242553,Danny Green,3.8
AST,0.715915073,James Harden,7.5
AST,0.182411448,Anthony Davis,1.9
AST,0.648744163,LeBron James,6.8
AST,0.480948574,Kevin Durant,5.0
AST,0.639893149,Stephen Curry,6.7
AST,1,Russell Westbrook,10.4
AST,0.465912984,Blake Griffin,4.9
AST,0.247801759,Kawhi Leonard,2.6
AST,0.143098636,Rudy Gobert,1.5
AST,0.171204808,Danny Green,1.8
STL,0.792394285,James Harden,1.7
STL,0.597730139,Anthony Davis,1.3
STL,0.639676114,LeBron James,1.4
STL,0.447978304,Kevin Durant,1.0
STL,1,Stephen Curry,2.1
STL,0.952440829,Russell Westbrook,2.0
STL,0.373964497,Blake Griffin,0.8
STL,0.831032216,Kawhi Leonard,1.8
STL,0.344844311,Rudy Gobert,0.7
STL,0.467455621,Danny Green,1.0
BLK,0.281029811,James Harden,0.6
BLK,0.925925926,Anthony Davis,2.0
BLK,0.291325536,LeBron James,0.6
BLK,0.533436214,Kevin Durant,1.2
BLK,0.085794656,Stephen Curry,0.2
BLK,0.112962963,Russell Westbrook,0.3
BLK,0.2194709,Blake Griffin,0.5
BLK,0.445576132,Kawhi Leonard,1.0
BLK,1,Rudy Gobert,2.2
BLK,0.366057196,Danny Green,0.8
