Land Area,Trade flow,Commodity,Y2000,S_2000,Y2001,S_2001,Y2002,S_2002,Y2003,S_2003,Y2004,S_2004,Y2005,S_2005,Y2006,S_2006,Y2007,S_2007,Y2008,S_2008,Y2009,S_2009,Y2010,S_2010,Y2011,S_2011,Y2012,S_2012,Y2013,S_2013,Y2014,S_2014,Y2015,S_2015
Algeria,Export,Fish,187,,259,,977,,307,,215,,223,,500,,618,,994,,793,,457,,109,,277,,317,,339,,308,
Angola,Export,Fish,2896,F,9746,F,6272,F,4149,F,3223,F,1818,F,1786,F,2742,F,5019,F,6005,F,4508,F,2769,,8718,,8210,F,7010,F,5334,
Benin,Export,Fish,64,,3,,3,,9,,29,,0,-,247,,630,,65,,112,,1149,,1082,,505,,479,,1174,,280,
Botswana,Export,Fish,13,,33,,35,,39,,24,,27,,42,,32,,7,,112,,36,,59,,190,,221,,234,,267,
Burkina Faso,Export,Fish,9,,15,,0,-,0,-,0,-,688,,1500,F,2507,,3387,,4384,,3260,,2674,,2833,,2160,,2100,,3301,
Burundi,Export,Fish,2,,4,,6,,13,,6,F,8,,13,,13,,12,,11,,9,,11,,31,,158,,118,,47,
Cabo Verde,Export,Fish,322,,246,,238,,44,,324,,9111,,18172,,9807,,10081,F,13380,,15909,,17997,,14163,,16717,,28419,,30255,
Cameroon,Export,Fish,62,,217,,12,,71,,70,,87,,1419,,2013,,1659,,3016,,4237,,1770,,3291,,3124,,3881,,3358,
Central African Republic,Export,Fish,22,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Chad,Export,Fish,4,F,2,F,0,-,0,-,0,-,13,,0,-,290,,45,,40,F,51,F,52,F,55,F,66,F,66,F,61,F
Comoros,Export,Fish,0,-,0,-,0,-,1,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,,0,-,0,-,0,-
Congo,Export,Fish,31,F,40,F,52,F,35,F,29,F,266,,24,F,125,,324,,269,,266,,23,F,153,,13,,426,,360,F
"Congo, Dem. Rep. of the",Export,Fish,19,F,18,F,2,F,8,F,1,F,1,F,0,0,0,0,0,0,76,F,259,F,116,F,125,F,608,F,282,F,132,F
Côte d'Ivoire,Export,Fish,63504,,49877,,54945,,47410,,52834,,32970,,36941,,47343,,46988,,51261,,31637,,23137,,36134,,37271,,27498,,37061,
Djibouti,Export,Fish,6,F,30,F,18,F,20,F,0,-,7,F,8,F,2,F,0,-,1,F,18,F,1,F,0,-,0,-,0,-,2,F
Egypt,Export,Fish,636,,668,,1630,,2414,,3209,,4431,,3333,,3587,,5743,,4381,,10071,,9856,,14903,,19850,,25184,,30607,F
Equatorial Guinea,Export,Fish,395,F,144,F,29,F,18,F,16,F,3,F,26,F,30,F,20,F,30,F,10,F,21,F,30,F,24,F,23,F,24,F
Eritrea,Export,Fish,442,F,134,F,121,F,425,,53,F,53,F,24,F,134,F,34,F,7,F,0,-,1,F,20,F,0,-,0,-,0,-
Ethiopia,Export,Fish,8,,11,,32,,32,,6,,1,,337,,585,,394,,489,,850,,826,,927,,798,,904,,921,
Gabon,Export,Fish,1305,,622,,1619,,438,,2621,,2772,,2852,,1082,,2342,,1459,,1284,F,1178,F,1172,F,1183,F,1307,F,1163,F
Gambia,Export,Fish,584,,364,,606,,440,,207,F,565,F,67,,1595,,1743,,3906,,5911,,2367,,1911,,1323,,1450,,860,F
Ghana,Export,Fish,53786,,59712,,45057,F,45629,,43797,,35482,,23422,,24907,,23442,,19226,F,21631,,20085,F,22176,,21665,,21064,,26395,
Guinea,Export,Fish,2142,,3161,,4001,,4953,,7840,,17009,,14334,,7923,,7964,,6445,F,7472,F,7629,F,9024,F,9527,,10607,,11268,
Guinea-Bissau,Export,Fish,1698,F,2301,F,3817,F,1628,F,3855,F,4021,F,5373,F,4976,F,3377,F,3771,F,5666,F,4401,F,3716,F,4579,F,5280,F,5500,F
Kenya,Export,Fish,16242,,17785,,23643,,18414,,16688,,17190,,14098,,15699,,19719,,14431,,16757,,14359,,16478,,10986,,14167,,9991,
Lesotho,Export,Fish,0,.,0,.,7,F,4,,3,,0,.,0,.,0,.,25,,183,,413,,388,,136,,194,F,528,F,627,F
Liberia,Export,Fish,32,F,47,F,151,F,55,F,9,F,75,F,229,F,125,F,65,F,91,F,96,F,91,F,96,F,98,F,102,F,101,F
Libya,Export,Fish,1868,F,1375,F,1695,F,2216,F,3120,F,3836,F,2000,F,1137,F,959,,579,F,616,F,363,F,980,F,1024,F,921,F,1060,F
Madagascar,Export,Fish,10621,,16809,,15581,,23645,,19252,,10154,,17804,,13193,,8267,,6688,,11201,,12047,,8154,,8297,,10982,,11197,
Malawi,Export,Fish,42,,34,,26,,43,,42,,128,,585,,32,,34,,15,,21,,67,,49,,23,,14,,12,
Mali,Export,Fish,761,,950,,1136,,425,,456,,371,,337,,634,,496,,301,F,278,,879,,174,,259,F,695,F,186,F
Mauritania,Export,Fish,66340,,65376,,79185,,73287,,53860,,80540,,72419,,89426,,119491,,55580,,99624,,209019,,288267,,180262,,219231,,253061,F
Mauritius,Export,Fish,18152,,27380,,28940,,32021,,33266,,36763,,50027,,49809,,49060,,50567,,61195,,54867,,59053,,59219,,70009,,63348,
Mayotte,Export,Fish,4,,28,,127,,201,,125,,124,,122,,122,,95,,83,,80,F,85,F,76,F,63,F,50,F,0,-
Morocco,Export,Fish,129286,,163860,,193397,,191453,,174105,,197415,,270967,,256940,,286893,,288770,,279834,,213072,,278013,,313393,,311004,,357348,
Mozambique,Export,Fish,3244,F,1946,,2532,,4265,,6648,,6669,,1814,,2249,F,1212,,1033,,1197,,2825,,4249,,4816,,8366,,7831,
Namibia,Export,Fish,384992,,311379,F,312572,F,308263,F,291353,F,253834,,396990,,323827,,319026,F,337595,,306847,,348288,,334441,,386157,,386445,,416349,
