GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,10GAME_AVG_OFF_RATING,10GAME_AVG_DEF_RATING,START_POS_FLAG,END_POS_FLAG
21500005,1610612755,76ers,PHI,Philadelphia,240:00:00,92.1,92.2,107.8,109.8,-15.7,-17.6,0.353,0.5,9.3,0.327,0.702,0.505,23.274,23.3,0.452,0.51,1,0.196,103.5,102.5,85.42,103,0.37,92.2,109.8,1,0
21500023,1610612755,76ers,PHI,Philadelphia,240:00:00,78.6,78,105.3,108.8,-26.7,-30.8,0.789,0.79,13.2,,0.66,,21.046,20.9,0.349,0.448,1,0.199,92.14,91,75.83,91,0.265,85.1,109.3,0,0
21500046,1610612755,76ers,PHI,Philadelphia,240:00:00,99.9,105.3,108.3,110.3,-8.4,-5,0.579,1.57,16.8,0.275,0.707,0.467,13.983,14.7,0.488,0.526,1,0.198,99.46,96,80,95,0.429,91.83333333,109.6333333,0,0
21500065,1610612755,76ers,PHI,Philadelphia,240:00:00,92,94.6,95.3,98.9,-3.3,-4.3,0.676,1.21,17.7,0.333,0.778,0.569,20.085,20.7,0.457,0.497,1,0.197,95.04,92,76.67,92,0.505,92.525,106.95,0,0
21500078,1610612755,76ers,PHI,Philadelphia,240:00:00,107.8,108.5,108.8,114.9,-1,-6.4,0.561,1.44,18.5,,0.696,,16.913,17,0.582,0.596,1,0.201,96.94,94,78.33,94,0.479,95.72,108.54,0,0
21500087,1610612755,76ers,PHI,Philadelphia,240:00:00,98.5,101,108.7,110.5,-10.2,-9.5,0.667,1.41,18.1,0.306,0.681,0.49,17.269,17.7,0.519,0.53,1,0.197,97.5,95.5,79.58,96,0.43,96.6,108.8666667,0,0
21500100,1610612755,76ers,PHI,Philadelphia,240:00:00,78.5,83.8,103.6,105.7,-25.1,-21.9,0.543,1.12,13,0.343,0.737,0.52,15.162,16.2,0.375,0.4,1,0.194,109.62,105,87.5,105,0.342,94.77142857,108.4142857,0,0
21500115,1610612755,76ers,PHI,Philadelphia,240:00:00,107.9,108.4,127.1,125.3,-19.2,-16.8,0.7,2.33,20.8,,0.596,,12.568,12.6,0.529,0.545,1,0.197,94.56,95,79.17,95,0.389,96.475,110.525,0,0
21500134,1610612755,76ers,PHI,Philadelphia,240:00:00,81.5,84.2,98.8,100,-17.3,-15.8,0.533,0.89,12.1,0.288,0.667,0.479,17.255,17.8,0.378,0.432,1,0.199,103.78,101.5,84.58,101,0.374,95.11111111,109.3555556,0,0
21500142,1610612755,76ers,PHI,Philadelphia,240:00:00,86.6,86.5,93.9,94.8,-7.3,-8.4,0.455,1,12.8,,0.684,,15.651,15.6,0.451,0.478,1,0.2,96.92,96.5,80.42,96,0.371,94.25,107.9,0,0
21500152,1610612755,76ers,PHI,Philadelphia,240:00:00,82.9,85.1,90,90.2,-7.2,-5,0.471,0.59,12.5,0.244,0.813,0.538,26.012,26.7,0.48,0.507,1,0.199,103,101.5,84.58,101,0.439,93.54,105.94,0,0
21500167,1610612755,76ers,PHI,Philadelphia,240:00:00,79.4,82.5,107.9,109.8,-28.5,-27.3,0.4,0.45,10.9,0.267,,,28.961,30.1,0.493,0.512,1,0.196,105.42,102.5,85.42,103,0.335,93.99,106.04,0,0
21500178,1610612755,76ers,PHI,Philadelphia,240:00:00,90.1,92.6,116.9,117.7,-26.8,-25.1,0.656,1.17,16.4,,,,18.428,18.9,0.456,0.496,1,0.199,97.18,95.5,79.58,95,0.364,92.72,106.78,0,0
21500193,1610612755,76ers,PHI,Philadelphia,240:00:00,91.4,94.8,100.2,99,-8.8,-4.2,0.516,0.94,12.7,0.273,0.778,0.5,17.075,17.7,0.439,0.492,1,0.199,97.68,96.5,80.42,96,0.403,92.74,106.79,0,0
21500206,1610612755,76ers,PHI,Philadelphia,240:00:00,97.1,99,101.1,104.2,-4.1,-5.2,0.469,0.79,12.1,0.286,0.705,0.484,19.412,19.8,0.474,0.528,1,0.198,98.38,96,80,96,0.427,91.79,105.72,0,0
